am,ap,p01,p02,tau1,n01,n02,functionvalue
3.1785355613133928,5.502809154543131,729.137975601017,1069.7153212060941,69.30317335888336,3.5190646534684293,5.954059235572239,1.8904012499454521e-13
1.0,5.0,548.0190775478906,1127.3352429118177,89.54155429613435,3.0,5.5090791209107755,0.004274022122706811
1.0,7.011421674932179,1006.8125099709991,566.7787353494035,90.20112243514916,3.0,4.766542945292654,1.0067650219859184e-14
1.0363891385478834,5.265090806409989,1263.1008335058937,565.6710524700313,93.91302543222406,3.0,4.660989347952814,8.193273920993345e-15
4.0697038085866515,7.240893287365527,1221.049536303282,797.542912729243,77.28750398388485,3.23495400254661,5.37085806854467,7.71890843253575e-14
7.332294945098512,6.3047681832003635,656.8873029055828,930.3019380302035,68.24826357393286,3.5165897098577292,5.943802416349068,1.6036613982687274e-13
1.0,5.0,1500.0,1369.3719071455348,98.34369066258269,3.0,3.923732021796877,0.014343438668450536
1.2301637261443004,8.103133121004353,741.1194204109306,727.4174355641361,75.25975921012636,3.345589029755606,5.488295145173084,4.3027719576239965e-14
2.683413335991654,6.583098785883218,825.5995943574734,1167.611188867142,70.80179356000143,3.4698800228922697,5.859112221360355,1.61824726121405e-13
5.431000195040256,8.802940407639412,1432.3050225232453,1045.0963683995096,62.346598957947634,3.8131867651862903,6.420087961201407,1.428795048687127e-14
6.97818865857062,7.040088351951393,1452.5109822010913,753.6655731652828,48.81705178476592,4.742337128364892,7.0,0.006785750630023435
2.6896372876361285,13.984636737606719,694.362993805705,1414.6583471279139,77.94126179693328,3.1753338393293773,5.489839156502652,1.4556357457690773e-13
3.461617730591049,19.317288885778087,610.2223580487796,1361.0263403415354,60.56374929640492,3.865960774235746,6.831822949555441,3.7848344255209995e-14
1.9947416107547633,18.09372383359644,541.9434770798343,682.0029514182417,45.250988192005565,5.090292692165668,7.0,0.017575002333923825
1.1177910581578543,6.643748874420494,637.1681684550207,801.827622948309,83.0285261234801,3.121617770839626,5.167401151417953,6.793953611957898e-15
9.999999997797556,19.997237431647818,740.0273539751757,1014.7121247772096,50.85503915557551,4.500176656642905,7.0,0.003450005061098632
3.5234521380273556,14.38413951950648,1442.8778119621597,1100.272197014462,54.80039445942907,4.2522006843113465,7.0,0.0003465307897670255
